 ID, Account ID, Employee ID, Title, Description, Due Date, Status, Priority, Type, Completed At, Created At
1927557152,1814784768,289350603,Coordinate training session,Provide updates on implementation timeline,2025-01-29 23:00:35.104501 UTC,Completed,High,Email,2025-01-26 23:00:35.104501 UTC,2025-01-03 23:00:35.104501 UTC
436409228,1814784768,840859815,Share case study materials,Send meeting summary and action items,2025-02-09 23:00:35.105442 UTC,Deferred,Medium,Email,,2024-12-21 23:00:35.105442 UTC
1698610695,1814784768,81801061,Send product update announcement,Send meeting summary and action items,2025-01-29 23:00:35.106235 UTC,Not Started,Low,Email,,2024-12-13 23:00:35.106235 UTC
2112860975,1814784768,742365891,Technical architecture review,Review account health metrics,2025-02-23 23:00:35.106785 UTC,Deferred,Low,Meeting,,2024-12-04 23:00:35.106785 UTC
1614042654,1814784768,1157138452,Send product update announcement,Share documentation on new features,2025-02-02 23:00:35.123501 UTC,Completed,Low,Email,2025-01-25 23:00:35.123501 UTC,2024-11-29 23:00:35.123501 UTC
2135100245,1814784768,1608037409,Share case study materials,Provide updates on implementation timeline,2025-02-21 23:00:35.123919 UTC,Completed,High,Email,2025-02-13 23:00:35.123919 UTC,2024-12-21 23:00:35.123919 UTC
2141260285,1814784768,1224300936,Update service agreement,Follow up on previous discussion points,2025-01-31 23:00:35.124567 UTC,Not Started,Medium,Contract Review,,2025-01-05 23:00:35.124567 UTC
41755373,1814784768,1997519883,Send product update announcement,Send meeting summary and action items,2025-01-27 23:00:35.124779 UTC,Not Started,Medium,Email,,2025-01-11 23:00:35.124779 UTC
803009665,1814784768,943289491,Follow up on open issues,Follow up on previous discussion points,2025-02-03 23:00:35.124969 UTC,Completed,Medium,Follow-up,2025-01-24 23:00:35.124969 UTC,2024-12-25 23:00:35.124969 UTC
1416412635,1814784768,122346013,Send product update announcement,Provide updates on implementation timeline,2025-02-23 23:00:35.127829 UTC,Not Started,Low,Email,,2025-01-15 23:00:35.127829 UTC
1815114600,1814784768,1224300936,Schedule quarterly review call,Review recent support tickets and resolution,2025-02-13 23:00:35.12798 UTC,In Progress,Low,Call,,2025-01-14 23:00:35.12798 UTC
116343096,1814784768,517880878,Schedule quarterly review call,Review recent support tickets and resolution,2025-01-28 23:00:35.128131 UTC,Not Started,Medium,Call,,2024-12-09 23:00:35.128131 UTC
2072594134,1814784768,122346013,Update service agreement,Follow up on previous discussion points,2025-02-12 23:00:35.128299 UTC,Completed,Low,Contract Review,2025-02-07 23:00:35.128299 UTC,2025-01-06 23:00:35.128299 UTC
1443769706,1814784768,895334175,Technical architecture review,Review account health metrics,2025-02-10 23:00:35.13177 UTC,Completed,Low,Meeting,2025-02-07 23:00:35.13177 UTC,2025-01-02 23:00:35.13177 UTC
1074121353,1814784768,951775129,Follow up on technical issues,Discuss current usage patterns and future needs,2025-02-15 23:00:35.13193 UTC,Not Started,Low,Call,,2024-12-06 23:00:35.13193 UTC
1198444855,1814784768,1816148921,Share case study materials,Share documentation on new features,2025-02-10 23:00:35.132076 UTC,Not Started,Low,Email,,2024-12-23 23:00:35.132076 UTC
1504751846,1814784768,1837155942,Contract renewal meeting,Discuss expansion opportunities,2025-02-11 23:00:35.13222 UTC,Deferred,Medium,Meeting,,2024-11-28 23:00:35.13222 UTC
329133858,1814784768,122346013,Validate contract details,Follow up on previous discussion points,2025-02-20 23:00:35.134586 UTC,Completed,High,Contract Review,2025-02-15 23:00:35.134586 UTC,2024-12-09 23:00:35.134586 UTC
577055347,1814784768,126591564,Follow up on open issues,Follow up on previous discussion points,2025-02-05 23:00:35.134777 UTC,In Progress,High,Follow-up,,2024-12-16 23:00:35.134777 UTC
1008656638,1814784768,943289491,Coordinate training session,Send meeting summary and action items,2025-02-11 23:00:35.135034 UTC,In Progress,High,Email,,2025-01-02 23:00:35.135034 UTC
852894608,1814784768,1997519883,Share case study materials,Send meeting summary and action items,2025-02-13 23:00:35.135198 UTC,In Progress,Low,Email,,2024-11-27 23:00:35.135198 UTC
1776511598,1814784768,1997519883,Coordinate training session,Share documentation on new features,2025-01-31 23:00:35.135404 UTC,Not Started,Medium,Email,,2025-01-12 23:00:35.135404 UTC
846527280,1814784768,2138075717,Coordinate training session,Send meeting summary and action items,2025-01-31 23:00:35.135561 UTC,In Progress,High,Email,,2025-01-17 23:00:35.135561 UTC
1417271175,1814784768,126591564,Contract renewal meeting,Plan next quarter objectives,2025-01-27 23:00:35.138969 UTC,Completed,Medium,Meeting,2025-01-27 23:00:35.138969 UTC,2024-12-11 23:00:35.138969 UTC
470578576,1814784768,517880878,Coordinate training session,Provide updates on implementation timeline,2025-02-11 23:00:35.139143 UTC,Completed,Low,Email,2025-02-03 23:00:35.139143 UTC,2024-12-12 23:00:35.139143 UTC
737627862,1814784768,519770588,Validate contract details,Follow up on previous discussion points,2025-02-03 23:00:35.139306 UTC,Deferred,Low,Contract Review,,2024-11-27 23:00:35.139306 UTC
